"result_name","result_value","result_interpretation","interpretation","sens_interpretation","yearrec","siteID","accessionID"
"Trimethoprim Sulphamethoxazole","<= 2.0000","Susceptible","Susceptible","Susceptible",2015,"Site 02","6343"
"Ampicillin","<= 0.2500","Susceptible","Susceptible","Susceptible",2017,"Site 02","4792"
"Ceftiofur","0.5","Susceptible","Susceptible","Susceptible",2017,"Site 02","4792"
"Chlortetracycline","> 8.0000","Susceptible","Resistant","Resistant",2017,"Site 02","4792"
"Clindamycin","> 16.0000","Susceptible","Resistant","Resistant",2017,"Site 02","4792"
"Enrofloxacin","<= 0.1200","Susceptible","Susceptible","Susceptible",2017,"Site 02","4792"
"Florfenicol","2","Susceptible","Susceptible","Susceptible",2017,"Site 02","4792"
"Gentamicin","4","Susceptible","Susceptible","Susceptible",2017,"Site 02","4792"
"Neomycin","16","Susceptible","Resistant","Resistant",2017,"Site 02","4792"
"Oxytetracycline","> 8.0000","Susceptible","Resistant","Resistant",2017,"Site 02","4792"
"Penicillin","<= 0.1200","Susceptible","Susceptible","Susceptible",2017,"Site 02","4792"
"Sulphadimethoxine","> 256.0000","Susceptible","Resistant","Resistant",2017,"Site 02","4792"
"Spectinomycin","16","Susceptible","Susceptible","Susceptible",2017,"Site 02","4792"
"Tiamulin","2","Susceptible","Susceptible","Susceptible",2017,"Site 02","4792"
"Tilmicosin","> 64.0000","Susceptible","Resistant","Resistant",2017,"Site 02","4792"
"Trimethoprim Sulphamethoxazole","<= 2.0000","Intermediate","Susceptible","Susceptible",2017,"Site 02","4792"
"Ampicillin","<= 0.2500","Susceptible","Susceptible","Susceptible",2019,"Site 03","7140"
"Ceftiofur","0.5","Susceptible","Susceptible","Susceptible",2019,"Site 03","7140"
"Chlortetracycline","> 8.0000","Susceptible","Resistant","Resistant",2019,"Site 03","7140"
"Enrofloxacin","1","Susceptible","Resistant","Resistant",2019,"Site 03","7140"
"Florfenicol","2","Susceptible","Susceptible","Susceptible",2019,"Site 03","7140"
"Gentamicin","8","Susceptible","Susceptible","Resistant",2019,"Site 03","7140"
"Neomycin","32","Susceptible","Resistant","Resistant",2019,"Site 03","7140"
"Oxytetracycline","> 8.0000","Susceptible","Resistant","Resistant",2019,"Site 03","7140"
"Penicillin","<= 0.1200","Susceptible","Susceptible","Susceptible",2019,"Site 03","7140"
"Sulphadimethoxine","<= 256.0000","Susceptible","Susceptible","Susceptible",2019,"Site 03","7140"
"Spectinomycin","32","Susceptible","Susceptible","Susceptible",2019,"Site 03","7140"
"Tiamulin","32","Susceptible","Resistant","Resistant",2019,"Site 03","7140"
"Tilmicosin","> 64.0000","Susceptible","Resistant","Resistant",2019,"Site 03","7140"
"Trimethoprim Sulphamethoxazole","<= 2.0000","Susceptible","Susceptible","Susceptible",2019,"Site 03","7140"
"Ampicillin","<= 0.2500","Susceptible","Susceptible","Susceptible",2014,"Site 04","8550"
"Ceftiofur","<= 0.2500","Susceptible","Susceptible","Susceptible",2014,"Site 04","8550"
"Chlortetracycline","> 8.0000","Susceptible","Resistant","Resistant",2014,"Site 04","8550"
"Clindamycin","> 16.0000","Susceptible","Resistant","Resistant",2014,"Site 04","8550"
"Enrofloxacin","0.25","Susceptible","Susceptible","Susceptible",2014,"Site 04","8550"
"Florfenicol","2","Susceptible","Susceptible","Susceptible",2014,"Site 04","8550"
"Gentamicin","2","Resistant","Susceptible","Susceptible",2014,"Site 04","8550"
"Neomycin","8","Susceptible","Susceptible","Susceptible",2014,"Site 04","8550"
"Oxytetracycline","> 8.0000","Susceptible","Resistant","Resistant",2014,"Site 04","8550"
"Penicillin","<= 0.1200","Susceptible","Susceptible","Susceptible",2014,"Site 04","8550"
"Sulphadimethoxine","> 256.0000","Susceptible","Resistant","Resistant",2014,"Site 04","8550"
"Spectinomycin","16","Susceptible","Susceptible","Susceptible",2014,"Site 04","8550"
"Tiamulin","1","Susceptible","Susceptible","Susceptible",2014,"Site 04","8550"
"Tilmicosin","> 64.0000","Susceptible","Resistant","Resistant",2014,"Site 04","8550"
"Trimethoprim Sulphamethoxazole","<= 2.0000","Intermediate","Susceptible","Susceptible",2014,"Site 04","8550"
"Ampicillin","<= 0.2500","Susceptible","Susceptible","Susceptible",2016,"Site 04","2859"
"Ceftiofur","<= 0.2500","Susceptible","Susceptible","Susceptible",2016,"Site 04","2859"
"Chlortetracycline","> 8.0000","Susceptible","Resistant","Resistant",2016,"Site 04","2859"
"Clindamycin","> 16.0000","Susceptible","Resistant","Resistant",2016,"Site 04","2859"
"Enrofloxacin","0.5","Susceptible","Susceptible","Susceptible",2016,"Site 04","2859"
"Florfenicol","2","Susceptible","Susceptible","Susceptible",2016,"Site 04","2859"
"Gentamicin","4","Susceptible","Susceptible","Susceptible",2016,"Site 04","2859"
"Neomycin","16","Susceptible","Resistant","Resistant",2016,"Site 04","2859"
"Oxytetracycline","> 8.0000","Susceptible","Resistant","Resistant",2016,"Site 04","2859"
"Penicillin","<= 0.1200","Susceptible","Susceptible","Susceptible",2016,"Site 04","2859"
"Sulphadimethoxine","> 256.0000","Susceptible","Resistant","Resistant",2016,"Site 04","2859"
"Spectinomycin","32","Susceptible","Susceptible","Susceptible",2016,"Site 04","2859"
"Tiamulin","1","Susceptible","Susceptible","Susceptible",2016,"Site 04","2859"
"Tilmicosin","> 64.0000","Susceptible","Resistant","Resistant",2016,"Site 04","2859"
"Trimethoprim Sulphamethoxazole","<= 2.0000","Intermediate","Susceptible","Susceptible",2016,"Site 04","2859"
"Ampicillin","<= 0.2500","Intermediate","Susceptible","Susceptible",2017,"Site 04","8482"
"Ceftiofur","<= 0.2500","Susceptible","Susceptible","Susceptible",2017,"Site 04","8482"
"Chlortetracycline","> 8.0000","Susceptible","Resistant","Resistant",2017,"Site 04","8482"
"Clindamycin","> 16.0000","Susceptible","Resistant","Resistant",2017,"Site 04","8482"
"Enrofloxacin","<= 0.1200","Susceptible","Susceptible","Susceptible",2017,"Site 04","8482"
"Florfenicol","2","Susceptible","Susceptible","Susceptible",2017,"Site 04","8482"
"Gentamicin","4","Susceptible","Susceptible","Susceptible",2017,"Site 04","8482"
"Neomycin","<= 4.0000","Susceptible","Susceptible","Susceptible",2017,"Site 04","8482"
"Oxytetracycline","> 8.0000","Susceptible","Resistant","Resistant",2017,"Site 04","8482"
"Penicillin","<= 0.1200","Susceptible","Susceptible","Susceptible",2017,"Site 04","8482"
"Sulphadimethoxine","> 256.0000","Susceptible","Resistant","Resistant",2017,"Site 04","8482"
"Spectinomycin","16","Susceptible","Susceptible","Susceptible",2017,"Site 04","8482"
"Tiamulin","1","Susceptible","Susceptible","Susceptible",2017,"Site 04","8482"
"Tilmicosin","> 64.0000","Susceptible","Resistant","Resistant",2017,"Site 04","8482"
"Trimethoprim Sulphamethoxazole","<= 2.0000","Susceptible","Susceptible","Susceptible",2017,"Site 04","8482"
"Ampicillin","<= 0.2500","Susceptible","Susceptible","Susceptible",2018,"Site 04","4942"
"Ceftiofur","<= 0.2500","Susceptible","Susceptible","Susceptible",2018,"Site 04","4942"
"Chlortetracycline","> 8.0000","Susceptible","Resistant","Resistant",2018,"Site 04","4942"
"Clindamycin","> 16.0000","Susceptible","Resistant","Resistant",2018,"Site 04","4942"
"Enrofloxacin","0.5","Susceptible","Susceptible","Susceptible",2018,"Site 04","4942"
"Florfenicol","2","Susceptible","Susceptible","Susceptible",2018,"Site 04","4942"
"Gentamicin","4","Susceptible","Susceptible","Susceptible",2018,"Site 04","4942"
"Neomycin","16","Susceptible","Resistant","Resistant",2018,"Site 04","4942"
"Oxytetracycline","> 8.0000","Susceptible","Resistant","Resistant",2018,"Site 04","4942"
"Penicillin","<= 0.1200","Susceptible","Susceptible","Susceptible",2018,"Site 04","4942"
"Sulphadimethoxine","> 256.0000","Susceptible","Resistant","Resistant",2018,"Site 04","4942"
"Spectinomycin","32","Susceptible","Susceptible","Susceptible",2018,"Site 04","4942"
"Tiamulin","1","Susceptible","Susceptible","Susceptible",2018,"Site 04","4942"
"Tilmicosin","> 64.0000","Susceptible","Resistant","Resistant",2018,"Site 04","4942"
"Trimethoprim Sulphamethoxazole","<= 2.0000","Susceptible","Susceptible","Susceptible",2018,"Site 04","4942"
"Ampicillin","<= 0.2500","Susceptible","Susceptible","Susceptible",2018,"Site 04","7873"
"Ceftiofur","<= 0.2500","Susceptible","Susceptible","Susceptible",2018,"Site 04","7873"
"Chlortetracycline","> 8.0000","Susceptible","Resistant","Resistant",2018,"Site 04","7873"
"Clindamycin","> 16.0000","Susceptible","Resistant","Resistant",2018,"Site 04","7873"
"Enrofloxacin","0.5","Susceptible","Susceptible","Susceptible",2018,"Site 04","7873"
"Florfenicol","2","Susceptible","Susceptible","Susceptible",2018,"Site 04","7873"
"Gentamicin","4","Susceptible","Susceptible","Susceptible",2018,"Site 04","7873"
"Neomycin","8","Susceptible","Susceptible","Susceptible",2018,"Site 04","7873"
"Oxytetracycline","> 8.0000","Susceptible","Resistant","Resistant",2018,"Site 04","7873"
"Penicillin","<= 0.1200","Susceptible","Susceptible","Susceptible",2018,"Site 04","7873"
"Sulphadimethoxine","> 256.0000","Susceptible","Resistant","Resistant",2018,"Site 04","7873"
"Spectinomycin","16","Susceptible","Susceptible","Susceptible",2018,"Site 04","7873"
"Tiamulin","2","Susceptible","Susceptible","Susceptible",2018,"Site 04","7873"
"Tilmicosin","> 64.0000","Susceptible","Resistant","Resistant",2018,"Site 04","7873"
"Trimethoprim Sulphamethoxazole","<= 2.0000","Susceptible","Susceptible","Susceptible",2018,"Site 04","7873"
"Ampicillin","<= 0.2500","Susceptible","Susceptible","Susceptible",2021,"Site 04","7371"
"Ceftiofur","<= 0.2500","Susceptible","Susceptible","Susceptible",2021,"Site 04","7371"
"Chlortetracycline","> 8.0000","Susceptible","Resistant","Resistant",2021,"Site 04","7371"
"Enrofloxacin","0.5","Susceptible","Susceptible","Susceptible",2021,"Site 04","7371"
"Florfenicol","2","Susceptible","Susceptible","Susceptible",2021,"Site 04","7371"
"Gentamicin","4","Susceptible","Susceptible","Susceptible",2021,"Site 04","7371"
"Neomycin","8","Susceptible","Susceptible","Susceptible",2021,"Site 04","7371"
"Oxytetracycline","> 8.0000","Susceptible","Resistant","Resistant",2021,"Site 04","7371"
"Penicillin","<= 0.1200","Susceptible","Susceptible","Susceptible",2021,"Site 04","7371"
"Sulphadimethoxine","> 256.0000","Susceptible","Resistant","Resistant",2021,"Site 04","7371"
"Spectinomycin","16","Susceptible","Susceptible","Susceptible",2021,"Site 04","7371"
"Tiamulin","1","Susceptible","Susceptible","Susceptible",2021,"Site 04","7371"
"Tilmicosin","> 64.0000","Susceptible","Resistant","Resistant",2021,"Site 04","7371"
"Trimethoprim Sulphamethoxazole","<= 2.0000","Susceptible","Susceptible","Susceptible",2021,"Site 04","7371"
"Ampicillin","<= 0.2500","Susceptible","Susceptible","Susceptible",2017,"Site 05","1066"
"Ceftiofur","<= 0.2500","Susceptible","Susceptible","Susceptible",2017,"Site 05","1066"
"Chlortetracycline","> 8.0000","Susceptible","Resistant","Resistant",2017,"Site 05","1066"
"Clindamycin","> 16.0000","Susceptible","Resistant","Resistant",2017,"Site 05","1066"
"Enrofloxacin","0.25","Susceptible","Susceptible","Susceptible",2017,"Site 05","1066"
"Florfenicol","2","Susceptible","Susceptible","Susceptible",2017,"Site 05","1066"
"Gentamicin","4","Susceptible","Susceptible","Susceptible",2017,"Site 05","1066"
"Neomycin","8","Susceptible","Susceptible","Susceptible",2017,"Site 05","1066"
"Oxytetracycline","> 8.0000","Susceptible","Resistant","Resistant",2017,"Site 05","1066"
"Penicillin","<= 0.1200","Susceptible","Susceptible","Susceptible",2017,"Site 05","1066"
"Sulphadimethoxine","> 256.0000","Susceptible","Resistant","Resistant",2017,"Site 05","1066"
"Spectinomycin","16","Susceptible","Susceptible","Susceptible",2017,"Site 05","1066"
"Tiamulin","1","Susceptible","Susceptible","Susceptible",2017,"Site 05","1066"
"Tilmicosin","> 64.0000","Susceptible","Resistant","Resistant",2017,"Site 05","1066"
"Trimethoprim Sulphamethoxazole","<= 2.0000","Susceptible","Susceptible","Susceptible",2017,"Site 05","1066"
"Ampicillin","<= 0.2500","Susceptible","Susceptible","Susceptible",2017,"Site 05","5225"
"Ceftiofur","<= 0.2500","Susceptible","Susceptible","Susceptible",2017,"Site 05","5225"
"Chlortetracycline","> 8.0000","Susceptible","Resistant","Resistant",2017,"Site 05","5225"
"Clindamycin","> 16.0000","Susceptible","Resistant","Resistant",2017,"Site 05","5225"
"Enrofloxacin","<= 0.1200","Susceptible","Susceptible","Susceptible",2017,"Site 05","5225"
"Florfenicol","2","Susceptible","Susceptible","Susceptible",2017,"Site 05","5225"
"Gentamicin","4","Susceptible","Susceptible","Susceptible",2017,"Site 05","5225"
"Neomycin","32","Susceptible","Resistant","Resistant",2017,"Site 05","5225"
"Oxytetracycline","> 8.0000","Susceptible","Resistant","Resistant",2017,"Site 05","5225"
"Penicillin","<= 0.1200","Susceptible","Susceptible","Susceptible",2017,"Site 05","5225"
"Sulphadimethoxine","<= 256.0000","Susceptible","Susceptible","Susceptible",2017,"Site 05","5225"
"Spectinomycin","16","Susceptible","Susceptible","Susceptible",2017,"Site 05","5225"
"Tiamulin","1","Susceptible","Susceptible","Susceptible",2017,"Site 05","5225"
"Tilmicosin","> 64.0000","Susceptible","Resistant","Resistant",2017,"Site 05","5225"
"Trimethoprim Sulphamethoxazole","<= 2.0000","Susceptible","Susceptible","Susceptible",2017,"Site 05","5225"
"Ampicillin","2","Susceptible","Susceptible","Susceptible",2019,"Site 05","5344"
"Ceftiofur","> 8.0000","Susceptible","Resistant","Resistant",2019,"Site 05","5344"
"Clindamycin","> 16.0000","Susceptible","Resistant","Resistant",2019,"Site 05","5344"
"Enrofloxacin","> 2.0000","Susceptible","Resistant","Resistant",2019,"Site 05","5344"
"Florfenicol","1","Susceptible","Susceptible","Susceptible",2019,"Site 05","5344"
"Gentamicin","<= 1.0000","Susceptible","Susceptible","Susceptible",2019,"Site 05","5344"
"Neomycin","<= 4.0000","Susceptible","Susceptible","Susceptible",2019,"Site 05","5344"
"Penicillin","8","Susceptible","Resistant","Resistant",2019,"Site 05","5344"
"Sulphadimethoxine","> 256.0000","Susceptible","Resistant","Resistant",2019,"Site 05","5344"
"Spectinomycin","> 64.0000","Susceptible","Resistant","Resistant",2019,"Site 05","5344"
"Tetracycline","> 8.0000","Susceptible","Resistant","Resistant",2019,"Site 05","5344"
"Tiamulin","<= 0.5000","Susceptible","Susceptible","Susceptible",2019,"Site 05","5344"
"Tilmicosin","> 16.0000","Susceptible","Resistant","Resistant",2019,"Site 05","5344"
"Trimethoprim Sulphamethoxazole","<= 2.0000","Susceptible","Susceptible","Susceptible",2019,"Site 05","5344"
"Ampicillin","4","Susceptible","Susceptible","Susceptible",2019,"Site 05","4973"
"Ceftiofur","> 8.0000","Susceptible","Resistant","Resistant",2019,"Site 05","4973"
"Clindamycin","> 16.0000","Susceptible","Resistant","Resistant",2019,"Site 05","4973"
"Enrofloxacin","1","Susceptible","Resistant","Resistant",2019,"Site 05","4973"
"Florfenicol","1","Susceptible","Susceptible","Susceptible",2019,"Site 05","4973"
"Gentamicin","> 16.0000","Susceptible","Resistant","Resistant",2019,"Site 05","4973"
"Neomycin","<= 4.0000","Susceptible","Susceptible","Susceptible",2019,"Site 05","4973"
"Penicillin","> 8.0000","Susceptible","Resistant","Resistant",2019,"Site 05","4973"
"Sulphadimethoxine","> 256.0000","Susceptible","Resistant","Resistant",2019,"Site 05","4973"
"Spectinomycin","> 64.0000","Susceptible","Resistant","Resistant",2019,"Site 05","4973"
"Tetracycline","> 8.0000","Susceptible","Resistant","Resistant",2019,"Site 05","4973"
"Tiamulin","> 32.0000","Susceptible","Resistant","Resistant",2019,"Site 05","4973"
"Tilmicosin","> 16.0000","Susceptible","Resistant","Resistant",2019,"Site 05","4973"
"Trimethoprim Sulphamethoxazole","<= 2.0000","Susceptible","Susceptible","Susceptible",2019,"Site 05","4973"
"Ampicillin","<= 0.2500","Susceptible","Susceptible","Susceptible",2015,"Site 05","0513"
"Ceftiofur","4","Susceptible","Susceptible","Susceptible",2015,"Site 05","0513"
"Chlortetracycline","> 8.0000","Susceptible","Resistant","Resistant",2015,"Site 05","0513"
"Clindamycin","> 16.0000","Susceptible","Resistant","Resistant",2015,"Site 05","0513"
"Enrofloxacin","0.25","Susceptible","Susceptible","Susceptible",2015,"Site 05","0513"
"Florfenicol","2","Susceptible","Susceptible","Susceptible",2015,"Site 05","0513"
"Gentamicin","4","Susceptible","Susceptible","Susceptible",2015,"Site 05","0513"
"Neomycin","32","Susceptible","Resistant","Resistant",2015,"Site 05","0513"
"Oxytetracycline","> 8.0000","Susceptible","Resistant","Resistant",2015,"Site 05","0513"
"Penicillin","<= 0.1200","Susceptible","Susceptible","Susceptible",2015,"Site 05","0513"
"Sulphadimethoxine","> 256.0000","Susceptible","Resistant","Resistant",2015,"Site 05","0513"
"Spectinomycin","16","Susceptible","Susceptible","Susceptible",2015,"Site 05","0513"
"Tiamulin","1","Susceptible","Susceptible","Susceptible",2015,"Site 05","0513"
"Tilmicosin","> 64.0000","Susceptible","Resistant","Resistant",2015,"Site 05","0513"
"Trimethoprim Sulphamethoxazole","<= 2.0000","Intermediate","Susceptible","Susceptible",2015,"Site 05","0513"
"Ampicillin","<= 0.2500","Susceptible","Susceptible","Susceptible",2014,"Site 06","0079"
"Ceftiofur","<= 0.2500","Susceptible","Susceptible","Susceptible",2014,"Site 06","0079"
"Chlortetracycline","> 8.0000","Susceptible","Resistant","Resistant",2014,"Site 06","0079"
"Clindamycin","> 16.0000","Susceptible","Resistant","Resistant",2014,"Site 06","0079"
"Enrofloxacin","0.5","Susceptible","Susceptible","Susceptible",2014,"Site 06","0079"
"Florfenicol","2","Susceptible","Susceptible","Susceptible",2014,"Site 06","0079"
"Gentamicin","4","Susceptible","Susceptible","Susceptible",2014,"Site 06","0079"
"Neomycin","16","Susceptible","Resistant","Resistant",2014,"Site 06","0079"
"Oxytetracycline","> 8.0000","Susceptible","Resistant","Resistant",2014,"Site 06","0079"
"Penicillin","<= 0.1200","Susceptible","Susceptible","Susceptible",2014,"Site 06","0079"
"Sulphadimethoxine","> 256.0000","Susceptible","Resistant","Resistant",2014,"Site 06","0079"
"Spectinomycin","16","Susceptible","Susceptible","Susceptible",2014,"Site 06","0079"
"Tiamulin","1","Intermediate","Susceptible","Susceptible",2014,"Site 06","0079"
"Tilmicosin","> 64.0000","Susceptible","Resistant","Resistant",2014,"Site 06","0079"
"Trimethoprim Sulphamethoxazole","<= 2.0000","Susceptible","Susceptible","Susceptible",2014,"Site 06","0079"
"Ampicillin","<= 0.2500","Susceptible","Susceptible","Susceptible",2017,"Site 07","2499"
"Ceftiofur","<= 0.2500","Susceptible","Susceptible","Susceptible",2017,"Site 07","2499"
"Chlortetracycline","> 8.0000","Susceptible","Resistant","Resistant",2017,"Site 07","2499"
"Clindamycin","<= 0.2500","Susceptible","Susceptible","Susceptible",2017,"Site 07","2499"
"Enrofloxacin","0.25","Susceptible","Susceptible","Susceptible",2017,"Site 07","2499"
"Florfenicol","2","Susceptible","Susceptible","Susceptible",2017,"Site 07","2499"
"Gentamicin","2","Susceptible","Susceptible","Susceptible",2017,"Site 07","2499"
"Neomycin","16","Susceptible","Resistant","Resistant",2017,"Site 07","2499"
"Oxytetracycline","> 8.0000","Susceptible","Resistant","Resistant",2017,"Site 07","2499"
"Penicillin","<= 0.1200","Susceptible","Susceptible","Susceptible",2017,"Site 07","2499"
"Sulphadimethoxine","<= 256.0000","Susceptible","Susceptible","Susceptible",2017,"Site 07","2499"
"Spectinomycin","16","Susceptible","Susceptible","Susceptible",2017,"Site 07","2499"
"Tiamulin","1","Susceptible","Susceptible","Susceptible",2017,"Site 07","2499"
"Tilmicosin","8","Susceptible","Susceptible","Susceptible",2017,"Site 07","2499"
"Trimethoprim Sulphamethoxazole","<= 2.0000","Susceptible","Susceptible","Susceptible",2017,"Site 07","2499"
"Ampicillin","1","Susceptible","Susceptible","Susceptible",2017,"Site 07","1979"
"Ceftiofur","<= 0.2500","Susceptible","Susceptible","Susceptible",2017,"Site 07","1979"
"Chlortetracycline","<= 0.5000","Susceptible","Susceptible","Susceptible",2017,"Site 07","1979"
"Clindamycin","8","Susceptible","Resistant","Resistant",2017,"Site 07","1979"
"Enrofloxacin","<= 0.1200","Intermediate","Susceptible","Susceptible",2017,"Site 07","1979"
"Florfenicol","<= 0.2500","Susceptible","Susceptible","Susceptible",2017,"Site 07","1979"
"Gentamicin","<= 1.0000","Susceptible","Susceptible","Susceptible",2017,"Site 07","1979"
"Neomycin","16","Susceptible","Resistant","Resistant",2017,"Site 07","1979"
"Oxytetracycline","<= 0.5000","Susceptible","Susceptible","Susceptible",2017,"Site 07","1979"
"Penicillin","0.5","Susceptible","Susceptible","Resistant",2017,"Site 07","1979"
"Sulphadimethoxine","<= 256.0000","Susceptible","Susceptible","Susceptible",2017,"Site 07","1979"
"Spectinomycin","<= 8.0000","Susceptible","Susceptible","Susceptible",2017,"Site 07","1979"
"Tiamulin","4","Susceptible","Susceptible","Susceptible",2017,"Site 07","1979"
"Tilmicosin","16","Susceptible","Susceptible","Susceptible",2017,"Site 07","1979"
"Trimethoprim Sulphamethoxazole","<= 2.0000","Susceptible","Susceptible","Susceptible",2017,"Site 07","1979"
"Ampicillin","<= 0.2500","Susceptible","Susceptible","Susceptible",2015,"Site 08","2857"
"Ceftiofur","<= 0.2500","Susceptible","Susceptible","Susceptible",2015,"Site 08","2857"
"Chlortetracycline","> 8.0000","Susceptible","Resistant","Resistant",2015,"Site 08","2857"
"Clindamycin","> 16.0000","Susceptible","Resistant","Resistant",2015,"Site 08","2857"
"Enrofloxacin","1","Susceptible","Resistant","Resistant",2015,"Site 08","2857"
"Florfenicol","2","Susceptible","Susceptible","Susceptible",2015,"Site 08","2857"
"Gentamicin","2","Susceptible","Susceptible","Susceptible",2015,"Site 08","2857"
"Neomycin","<= 4.0000","Susceptible","Susceptible","Susceptible",2015,"Site 08","2857"
"Oxytetracycline","> 8.0000","Susceptible","Resistant","Resistant",2015,"Site 08","2857"
"Penicillin","0.25","Susceptible","Susceptible","Resistant",2015,"Site 08","2857"
"Sulphadimethoxine","> 256.0000","Susceptible","Resistant","Resistant",2015,"Site 08","2857"
"Spectinomycin","64","Susceptible","Susceptible","Susceptible",2015,"Site 08","2857"
"Tiamulin","> 32.0000","Susceptible","Resistant","Resistant",2015,"Site 08","2857"
"Tilmicosin","> 64.0000","Susceptible","Resistant","Resistant",2015,"Site 08","2857"
"Trimethoprim Sulphamethoxazole","<= 2.0000","Susceptible","Susceptible","Susceptible",2015,"Site 08","2857"
"Ampicillin","<= 0.2500","Susceptible","Susceptible","Susceptible",2014,"Site 09","2165"
"Ceftiofur","1","Susceptible","Susceptible","Susceptible",2014,"Site 09","2165"
"Chlortetracycline","8","Susceptible","Susceptible","Resistant",2014,"Site 09","2165"
"Clindamycin","<= 0.2500","Susceptible","Susceptible","Susceptible",2014,"Site 09","2165"
"Enrofloxacin","0.5","Susceptible","Susceptible","Susceptible",2014,"Site 09","2165"
"Florfenicol","2","Susceptible","Susceptible","Susceptible",2014,"Site 09","2165"
"Gentamicin","8","Susceptible","Susceptible","Resistant",2014,"Site 09","2165"
"Neomycin","32","Susceptible","Resistant","Resistant",2014,"Site 09","2165"
"Oxytetracycline","8","Susceptible","Susceptible","Susceptible",2014,"Site 09","2165"
"Penicillin","<= 0.1200","Susceptible","Susceptible","Susceptible",2014,"Site 09","2165"
"Sulphadimethoxine","<= 256.0000","Susceptible","Susceptible","Susceptible",2014,"Site 09","2165"
"Spectinomycin","16","Susceptible","Susceptible","Susceptible",2014,"Site 09","2165"
"Tiamulin","2","Susceptible","Susceptible","Susceptible",2014,"Site 09","2165"
"Tilmicosin","<= 4.0000","Susceptible","Susceptible","Susceptible",2014,"Site 09","2165"
"Trimethoprim Sulphamethoxazole","<= 2.0000","Susceptible","Susceptible","Susceptible",2014,"Site 09","2165"
"Ampicillin","<= 0.2500","Susceptible","Susceptible","Susceptible",2014,"Site 09","4840"
"Ceftiofur","<= 0.2500","Susceptible","Susceptible","Susceptible",2014,"Site 09","4840"
"Chlortetracycline","> 8.0000","Susceptible","Resistant","Resistant",2014,"Site 09","4840"
"Clindamycin","> 16.0000","Susceptible","Resistant","Resistant",2014,"Site 09","4840"
"Enrofloxacin","0.25","Susceptible","Susceptible","Susceptible",2014,"Site 09","4840"
"Florfenicol","2","Susceptible","Susceptible","Susceptible",2014,"Site 09","4840"
"Gentamicin","4","Susceptible","Susceptible","Susceptible",2014,"Site 09","4840"
"Neomycin","16","Susceptible","Resistant","Resistant",2014,"Site 09","4840"
"Oxytetracycline","> 8.0000","Resistant","Resistant","Resistant",2014,"Site 09","4840"
"Penicillin","<= 0.1200","Susceptible","Susceptible","Susceptible",2014,"Site 09","4840"
"Sulphadimethoxine","> 256.0000","Susceptible","Resistant","Resistant",2014,"Site 09","4840"
"Spectinomycin","16","Susceptible","Susceptible","Susceptible",2014,"Site 09","4840"
